German,English
hands,hands
reibungslos,Smoothly
schlagsahne,whipped cream
schrien,screamed
auskennen,know
schlümpfe,Smurfs
flipper,pinball
arrangiere,arrange
ungewissheit,uncertainty
jährliche,annual
blutkörperchen,blood cells
wick,wick
genji,genji
zimmernummer,room number
pfote,paw
telefongesellschaft,telephone company
tarnvorrichtung,camouflage device
mayfield,Mayfield
verweisen,refer
joanie,Joanie
anzuklagen,to accuse
bankiers,bankers
giuseppe,Giuseppe
syndrom,syndrome
brilliant,brilliant
kriegten,got
vorliegt,is
abzüge,deductions
verhängnis,disaster
bücken,bend over
yourself,yourself
kabul,Kabul
berüchtigte,notorious
inszenieren,stage
pflaume,plum
ausziehe,move out
juarez,juarez
sansa,sansa
blaze,blaze
revolte,revolt
lights,lights
lähmung,paralysis
hierauf,here
eingewilligt,agreed
gottlosen,godless
familientreffen,family reunion
wäschst,washes
spears,spears
speedy,speedy
oren,oren
christentum,Christianity
historischer,historical
meldeten,reported
wiederkommst,come back
gewischt,wiped
idaho,Idaho
justus,justus
gesichtserkennung,facial recognition
reiss,tear
marschmusik,march music
stehn,stand
gardinen,curtains
waffel,waffle
besuchszeit,Visiting hours
trixie,Trixie
tenoch,tenoch
demonstriert,demonstrated
empfehlungsschreiben,letter of recommendation
mundharmonika,harmonica
cummings,cummings
marnie,Marnie
nasir,nasir
auszuüben,to exercise
ägyptische,Egyptian
nationaler,national
japsen,gasp
colbert,Colbert
aron,aron
warnungen,warnings
kennenlernt,get to know each other
gifte,poisons
billionen,billions
übernachte,overnight
umkleide,changing room
emmy,Emmy
cornwall,Cornwall
unsterbliche,immortal
wimper,eyelash
knochenmark,bone marrow
flowers,flowers
subs,subs
bewertung,evaluation
abscheu,disgust
kriegsheld,war hero
wings,wings
korrigiere,correct
egoist,egoist
warpkern,warp core
staatspolizei,state police
verwechselst,confuses
spießig,stuffy
verwaltet,managed
langweiliges,boring
zusammengekommen,came together
armleuchter,chandelier
vertrauter,familiar
bajoranische,Bajoran
mahone,Mahone
rationen,rations
festessen,celebratory meal
markenzeichen,trademark
hilde,Hilde
kommunion,communion
crosby,crosby
erkaufen,buy
gebannt,banned
unrechtes,unjust
ablösung,replacement
gefischt,fished
mitnehme,I'll take with me
chinesin,Chinese woman
brokkoli,broccoli
empfangsdame,receptionist
kompliziertes,complicated
gesuchte,sought
erstklassiger,first-class
rausgeschnitten,cut out
einzuschlafen,to fall asleep
betrachtete,considered
übernehmt,take over
kidnapping,kidnapping
hort,hos
shack,shack
dampfen,vaping
instinkten,instincts
manner,men
geldwäsche,money laundering
sadist,sadist
drastisch,drastic
schlauen,clever
unvergesslich,unforgettable
reuben,Reuben
athleten,athletes
erwähnung,mention
wettet,bet
überrumpelt,caught off guard
nachkomme,descendant
chantal,Chantal
andres,andres
zurückbringt,returns
kulisse,backdrop
umsteigen,transfer
seelenverwandte,soulmates
prügelt,beats
corinne,Corinne
gem,according
bewache,guard
dingsbums,thingamajig
marcellus,Marcellus
lia,lia
princess,princess
nordosten,northeast
abspielt,plays
verbundenheit,connectedness
quartiere,quarters
blindheit,blindness
verlogene,deceitful
pandora,Pandora
flugzeugs,aircraft
pianist,pianist
pflegerin,nurse
elektrisch,electric
runternehmen,down
kontaktmann,contact person
nebenzimmer,adjoining room
beschädigte,damaged
meinungsverschiedenheit,disagreement
bestseller,bestseller
maximilian,Maximilian
hussein,Hussein
kratz,scratch
phänomenal,phenomenal
analysen,analyses
hochhaus,skyscraper
hyperraum,hyperspace
sicherungen,fuses
strände,beaches
ködern,bait
tracey,tracey
iwanowitsch,Ivanovich
durchgeknallte,crazy
erhaben,sublime
eidesstattliche,affidavit
liesel,Liesel
schiefgegangen,went wrong
hankmed,hankmed
vermessen,measure
bescheidener,modest
lockvogel,decoy
inga,Inga
geflüstert,whispered
erschwert,more difficult
kimber,Kimber
lian,lian
zivilisierte,civilized
kleidet,clothes
verändere,change
geschlechts,gender
lenin,Lenin
gorillas,gorillas
unschön,ugly
hingetan,done
verführung,seduction
röchelt,wheezes
unerwünscht,undesirable
gebohrt,drilled
joaquin,joaquin
entlasse,dismiss
undankbarer,ungrateful
kriech,crawl
bewaffnen,arm
erleidet,suffers
erschüttern,shake
schleppe,train
trinkspruch,drinking toast
blendet,dazzling
wirkten,had an effect
paten,godparents
spielern,players
umzukehren,to reverse
nieten,rivets
würdiger,worthy
ramona,Ramona
kronleuchter,chandelier
mannomann,oh man
sommerhaus,summer house
erwin,Erwin
gesandten,envoy
spray,spray
gollum,Gollum
offizielles,official
doppelmord,double murder
ayla,ayla
mata,mata
expandieren,expand
mckenna,McKenna
folgender,the following
weiterkommen,to continue
faraday,Faraday
krippe,crib
ahmet,ahmet
aschenputtel,Cinderella
einsatzkommando,task force
hampshire,Hampshire
beliebige,any
autopsiebericht,autopsy report
trolle,trolls
herausfindest,find out
schlüsselbein,collarbone
gewandert,hiked
aperitif,aperitif
antarktis,Antarctic
rohan,rohan
ferienhaus,holiday home
gestrickt,knitted
kandidatin,candidate
mycroft,mycroft
cinnamon,cinnamon
eingesehen,viewed
bekämpfe,fight
kanadische,Canadian
renner,runner
gebeichtet,confessed
narcisse,narcissus
camden,Camden
bypass,bypass
lilien,lilies
gestürmt,stormed
zurueck,back
kriegsschiffe,warships
kessler,kessler
qin,qin
enttäuschst,disappointed
mitschüler,classmate
plattenspieler,record player
chaney,chaney
selina,Selina
anbeginn,beginning
stereoanlage,stereo system
potentiellen,potential
konzentrierst,concentrate
senil,senile
heavy,heavy
drummer,drummer
klassisches,classic
gebeugt,bent
cao,cao
unauffindbar,untraceable
kreist,circles
künftige,future
bootshaus,boathouse
reinzugehen,to go in
tyrell,tyrell
lees,le
trust,trust
patch,patch
rülpst,burps
blümchen,little flowers
kämpferin,fighter
symbolisch,symbolic
nordamerika,North America
benehme,behave
verliebst,in love
dev,dev
klapse,psychiatric ward
berichterstattung,reporting
frühestens,at earliest
promenadendeck,promenade deck
polizeiwagen,police car
monaco,Monaco
geräten,devices
abgesandte,envoy
geschoss,shot
projektor,projector
profite,profits
einzelzimmer,single room
südwesten,southwest
boutique,boutique
befriedigend,satisfactory
chat,chat
übeltäter,perpetrators
vorgefunden,found
andocken,docking
bethlehem,Bethlehem
impotent,impotent
geheimagent,secret agent
effizienter,more efficient
würdige,worthy
nervosität,nervousness
jarle,jarle
sprechanlage,intercom
leistest,do
grundsätze,principles
rechtmäßige,lawful
justice,justice
sinneswandel,change of mind
nasser,wet
rausgeben,release
kontonummer,account number
scanne,scan
eingeschleust,infiltrated
umgegangen,dealt with
geringen,low
kidnappen,kidnap
totenwache,wake
kol,kol
varus,Varus
oftmals,often
patenonkel,godfather
account,account
ausrutscher,slip-up
hunnen,Huns
ertönen,sound
prominenten,prominent
hohn,mockery
mossad,Mossad
torwart,goalkeeper
pünktlichkeit,punctuality
umzusetzen,to implement
kollision,collision
tragischer,tragic
ferngesehen,watched TV
versuchter,attempted
abscheulichen,abhorrent
rhodes,Rhodes
gangstern,gangsters
gaeta,Gaeta
sendungen,broadcasts
district,district
bane,bane
poeten,poets
degradiert,demoted
erstbesten,first one
erstreckt,extends
meisterschaften,championships
bash,bash
duran,duran
aufschlussreich,insightful
schießereien,shootings
holosuite,holosuite
einchecken,check in
untergeschoss,basement
sentimentale,sentimental
abgeschafft,abolished
themse,thems
theodor,theodor
absaugen,suction
marley,Marley
epoche,epoch
fatal,fatal
drecksäcke,scumbags
biologischer,biological
überlistet,outsmarted
ehemals,formerly
durchquert,traversed
fleischbällchen,meatballs
barber,barber
sonnig,sunny
cougar,cougar
herauszukommen,to get out
peel,peel
nachteile,disadvantages
kubanische,Cuban
gekürzt,shortened
abwechselnd,alternately
woah,whoa
gruben,pits
parke,park
beulen,dents
doppel,double
übergelaufen,defected
tori,tori
belege,evidence
gedämpfte,subdued
geimpft,vaccinated
mittagszeit,midday
cromwell,Cromwell
überschreitet,exceeds
impulsantrieb,impulse drive
fairness,fairness
ogden,ogden
moiiari,moiiari
naher,closer
desert,desert
ignacio,Ignacio
hubots,hubots
raupe,caterpillar
rosenberg,Rosenberg
anhaltspunkte,clues
lack,paint
ergebnissen,results
holla,holla
anlocken,attract
entrissen,torn away
täters,perpetrators
legendär,legendary
hergeführt,led
spieluhr,music box
schleich,sneak
allez,allez
waggons,wagons
brite,brite
giftigen,toxic
arrangierte,arranged
frischfleisch,fresh meat
begegne,encounter
initiieren,initiate
adèle,adèle
radioaktive,radioactive
erzählerin,narrator
sports,sports
traurigerweise,sadly
jemen,Yemen
colors,Colors
sen,sen
zellenblock,cell block
sensibler,sensitive
betätigen,activate
lacrosse,lacrosse
handgelenke,wrists
lieblings,favorite
weggeschmissen,thrown away
verfault,rotten
network,network
weltfrieden,world peace
anschalten,turn on
takashi,takashi
realisierte,realized
veränderten,changed
österreicher,Austrian
hierzubleiben,stay here
rätseln,puzzle
ausrufen,exclaim
wilkes,wilkes
libanon,Lebanon
damian,Damian
iceman,iceman
nachhinein,in retrospect
leibliche,physical
ausgezeichneten,excellent
verbannung,exile
pinky,pinky
schmeckte,tasted
vip,VIP
angemessenen,appropriate
pieps,beep
grundregeln,basic rules
importiert,imported
trainierte,trained
sturer,stubborn
saftig,juicy
bestreitet,denies
amelie,Amelie
zwinkern,wink
blutproben,blood samples
saito,Saito
sozialamt,social welfare office
kapituliert,surrendered
urwald,jungle
belagert,besieged
radon,radon
zugeschaut,watched
voraussagen,predict
zugibt,admits
wiederbelebung,resuscitation
gestohlenes,stolen
leena,leena
musikalisch,musical
reflex,reflex
nachzuholen,to catch up
renate,renate
eintrittskarte,admission ticket
vie,vie
bundespolizei,federal police
schlafende,sleeping
ill,ill
flachen,flat
avi,avi
ausgetrunken,drunk up
valeria,Valeria
schar,char
überbrücken,bridge
flugsteig,concourse
gerollt,rolled
korrespondenz,correspondence
vicomedia,vicomedia
bewahrte,preserved
mar,mar
autofahrer,driver
zeitreise,time travel
reaper,Reaper
gewölbe,vault
dane,Dane
task,task
betraf,concerned
leichenwagen,hearse
abaddon,abaddon
schubst,pushes
ness,ness
vermacht,bequeathed
coney,coney
klan,clan
hingekommen,arrived
quest,quest
judge,judge
guillermo,Guillermo
bekleidet,clothed
ägyptischen,Egyptian
sold,sold
umzingeln,surround
oberstleutnant,lieutenant colonel
anschließt,connects
cartoons,cartoons
feger,sweeper
gekennzeichnet,marked
dona,dona
assimiliert,assimilated
essenszeit,mealtime
gesuch,request
fitness,fitness
klebrig,sticky
kinderstimmen,children's voices
vorhersehen,foresee
gutaussehender,handsome
niederknien,kneel down
nilsson,nilsson
demokratische,democratic
vorzugehen,to proceed
tags,tags
ems,EMS
liebesbrief,love letter
bescherung,gift-giving
dandy,dandy
abschiedskuss,farewell kiss
corleone,Corleone
rumläuft,walking around
magister,master's degree
charmeur,charmer
geeigneten,suitable
wischt,wipes
baird,Baird
baldwin,baldwin
milchstraße,Milky Way
anbelangt,as regards
gebrandmarkt,branded
megumi,Megumi
prado,Prado
angepiepst,beeped
ina,ina
dustin,dustin
amtszeit,term of office
entfalten,unfold
reifer,mature
damaja,damaja
sternzeichen,zodiac sign
nachgefragt,inquired
camping,camping
toussaint,toussaint
gealtert,aged
harem,harem
reinhauen,Go for it!
melonen,melons
vene,vein
geldstrafe,fine
interface,interface
arthurs,Arthur
annimmst,accept
abrupt,abrupt
herholen,get
gemieden,avoided
codename,codename
wertvollste,most valuable
houdini,Houdini
plünderer,marauder
vorgemacht,demonstrated
beliebte,popular
reifenspuren,tire tracks
weltweite,worldwide
adebisi,adebisi
baracken,barracks
verdauung,digestion
ärmsten,poorest
shep,shep
flöten,flutes
strahlende,radiant
unheimlichen,eerie
wertsachen,valuables
kot,dung
weltuntergang,apocalypse
gleisen,tracks
marthe,marthe
pssst,shhh
muhen,low
heide,pagan
deadline,deadline
robe,robe
greenwich,Greenwich
bindungen,bonds
maßstab,scale
lao,Lao
vorige,previous
soziopath,sociopath
gerber,tanner
magenschmerzen,stomach pain
soziales,social
mean,mean
tonys,Tony's
obszön,obscene
barneys,Barney's
laub,leaves
running,running
anrichtet,prepares
spiegelt,reflects
raubtiere,predators
verschon,spare
schwillt,swells
unerlaubt,unauthorized
mögest,may
leibes,body
durchsuchungsbeschluss,search warrant
lam,lam
übersät,littered
sonderangebot,special offer
definiere,define
brownie,brownie
äther,ether
infarkt,heart attack
handschlag,handshake
versteigert,auctioned
anschaust,look
zuordnen,assign
lauer,lurker
engländern,English
schulzeit,school days
bojack,bojack
townsend,townsend
ruinierte,ruined
lima,lima
view,view
hellseherin,clairvoyant
jussi,jussi
ankunftszeit,arrival time
croissants,croissants
without,without
conan,Conan
tappen,tap
aufgeschmissen,screwed
plausibel,plausible
susanna,Susanna
vorkommnisse,incidents
absurde,absurd
living,living
hilda,Hilda
horoskop,horoscope
zelda,Zelda
befleckt,stained
drehbücher,screenplays
überraschungsparty,surprise party
vorstrafenregister,criminal record
wiederaufbau,reconstruction
schläfchen,nap
muh,moo
prärie,prairie
lautstärke,volume
stichwunden,stab wounds
verkürzen,shorten
kosmischen,cosmic
schleuse,sluice
flight,flight
peinlichen,embarrassing
auszugleichen,to compensate
newport,newport
flüchtiger,fugitive
prior,prior
pen,pen
boots,boots
angehören,belong
gerichtsvollzieher,bailiff
duval,duval
leckerbissen,delicacy
lowry,lowry
kriegers,warriors
claudius,Claudius
waffenkammer,armory
blutiger,bloody
southern,southern
fügte,added
dachs,badger
maroni,chestnuts
capri,capri
bäuerin,farmer's wife
hatschi,achoo!
drogentest,drug test
liebtest,loved
laternen,lanterns
bah,bah
erstickte,suffocated
schnallt,buckles
sin,sin
zivil,civil
zäune,fences
brillen,glasses
marlon,Marlon
körperteil,body part
menschenfleisch,human flesh
jeweiligen,each
sorglos,carefree
gebrochenem,broken
briefing,briefing
zaster,cash
wartezeit,waiting time
mobil,mobile
christmas,Christmas
wirtschaftliche,economic
kathi,Kathi
beschreibe,describe
speisekammer,pantry
applaudiert,applause
bestrahlung,radiation
feuerwehrmänner,firefighters
äußeres,external
anzuschreien,to shout
tät,act
alexei,Alexei
sprengkopf,warhead
elektronisches,electronic
equipment,equipment
ultra,ultra
konzentrierte,concentrated
deutliche,clear
nutzlosen,useless
regenerieren,regenerate
beiträge,contributions
übst,practice
annalise,annalise
verunglückt,accident
weißem,white
milly,milly
schmuggel,smuggling
bobbys,Bobby's
regenten,rulers
eingänge,entrances
esposito,esposito
lebensraum,habitat
regionen,regions
hochverrats,high treason
sinnvolles,meaningful
noriko,noriko
rausgeht,goes out
ulrik,Ulrik
pawel,pawel
vollgestopft,crammed full
vergaser,carburetor
stripper,stripper
hirngespinst,figment of the imagination
vorabend,eve
stinke,stinks
gefängnissen,prisons
insasse,inmate
zafer,zafer
hinrichtungen,executions
orchidee,orchid
domina,domina
runterziehen,pull down
tätowierungen,tattoos
geschmeidig,supple
soso,so so
weeds,weeds
gegenangriff,counterattack
knirschen,crunch
verlegung,laying
nachgegangen,investigated
schlafengehen,going to sleep
mätresse,mistress
armseliger,pathetic
sibley,sibley
fink,finch
archäologen,archaeologists
strumpfhose,tights
verhafteten,arrested
replikator,replicator
probierst,try
wait,wait
kompatibel,compatible
fleiß,diligence
schmalen,narrow
puma,puma
gelenkt,guided
christoph,Christoph
lungenkrebs,lung cancer
modernes,modern
petition,petition
wissenschaftlicher,scientific
octavia,Octavia
unbeliebt,unpopular
reportern,reporters
fäusten,fists
liberalen,liberal
großzügiges,generous
abgehakt,checked off the list
harmloser,harmless
vergöttert,idolized
erhabene,sublime
cher,dear
fûr,for
sensenmann,Grim Reaper
durchsuch,search
nutzung,use
entstehung,origin
krempel,junk
geheißen,called
schaltete,switched
kobra,cobra
trostlos,bleak
körbe,baskets
madchen,girl
boxt,boxing
bildete,formed
watch,watch
nazareth,Nazareth
geduldet,tolerated
dia,slide
lesung,reading
entzündung,inflammation
dämmert,dawns
stillgelegt,decommissioned
abgefuckt,fucked up
lawton,Lawton
injizieren,inject
schimpansen,chimpanzees
blutbild,blood test
nichtig,void
argh,argh
zurücklehnen,lean back
begegnungen,encounters
unterstützte,supported
extrablatt,extra edition
exzellenter,excellent
salomon,Solomon
sensei,sensei
igel,hedgehog
gilda,Gilda
richters,Richter's
dekoriert,decorated
endeffekt,end result
ewald,Ewald
gellar,gellar
candice,Candice
krankenakte,medical record
ou,ou
geschätzten,estimated
gräben,dig
klugheit,wisdom
naina,naina
drohten,threatened
lahmen,paralyze
burbank,Burbank
holm,holm
tieres,animals
autogramme,autographs
erbt,inherits
verspüre,feel
kürzester,shortest
sutter,sutter
trödeln,dawdle
freispruch,acquittal
gottverdammtes,goddamn
industrielle,industrial
nietzsche,Nietzsche
reingeraten,got caught up in it
rasierklinge,razor blade
matratzen,mattresses
swing,swing
vorhut,vanguard
trockenes,dry
silent,silent
minenfeld,minefield
flores,flowers
schusswunden,gunshot wounds
wichtigtuer,self-important
rechtfertigung,justification
swift,swift
küsten,coastal
proteste,protests
fehlgeschlagen,failed
gagarin,Gagarin
getränkt,soaked
lucinda,Lucinda
unfallort,accident scene
pos,positive
riskierte,risked
schlüsseln,keys
regisseure,directors
dealt,dealt
berauscht,intoxicated
beschäftigte,employed
jazzmusik,jazz music
albin,albin
verduften,evaporate
zahnschmerzen,toothache
santo,Santo
vernaschen,nibble
hervorragenden,excellent
kimmy,Kimmy
wunderst,wonder
kjell,kjell
kaori,kaori
blu,blue
vorstellst,imagine
ruiniere,ruin
gebar,gave birth
lämmer,lambs
schiess,shoot
hatt,had
thx,Thanks
prachtstück,magnificent piece
gebrochener,broken
inflation,inflation
klopfst,knock
does,does
eduard,Edward
ghul,ghoul
kosmische,cosmic
human,human
chas,chas
absicherung,security
wöchentlich,weekly
sterblicher,mortal
imam,imam
keats,keats
mikroskop,microscope
garnelen,prawns
albanien,Albania
teint,complexion
hobbes,hobbes
sensor,sensor
begibt,goes
gegenüberstehen,face each other
shell,shell
zurücklegen,put back
samba,samba
hingewiesen,pointed out
states,states
schwergewicht,heavyweight
staatssekretär,state secretary
thronfolger,heir to the throne
romans,novels
kriminelles,criminal
poole,poole
monarchie,monarchy
everything,everything
hungersnot,famine
brenzlig,precarious
ausgebildete,trained
witzen,jokes
sketch,sketch
besagten,said
personenschutz,personal protection
hocherfreut,delighted
kriterien,criteria
unzähligen,countless
weinberg,vineyard
christin,Christine
spielhalle,arcade
quieken,squeaking
telefonierte,phoned
gluck,happiness
bestückt,equipped
sonnencreme,sunscreen
claudio,Claudio
unantastbar,inviolable
engels,Engels
eisenhower,Eisenhower
geschwafel,rambling
sozialarbeiter,social worker
gefährte,fellow
rays,rays
blitzschnell,lightning fast
postkutsche,stagecoach
arcadia,arcadia
rafa,Rafa
goldes,gold
kletter,climb
verkrochen,hidden
auffrischen,refresh
augenblicken,moments
pott,pot
unglaubwürdig,unbelievable
erstaunliches,amazing
ausgestoßen,ejected
praktischer,practical
medizinstudium,medical studies
loyaler,loyal
zwangsjacke,straitjacket
mayer,mayer
zwillingsschwester,twin sister
photonentorpedos,photon torpedoes
tempels,temples
durftest,were allowed
ausspucken,spit
kribbeln,tingle
dossier,dossier
überfällt,attacks
einfühlsam,sensitive
abgibt,gives
tribune,tribune
inside,inside
pulsadern,pulse points
sphäre,sphere
wett,bet
verspeist,eaten
gieß,pour
dächern,roofs
showgeschäft,show business
angesehener,respected
kandidiert,is running for office
gruseligen,creepy
spontane,spontaneous
wil,will
verrätern,traitors
erlebten,experienced
weia,oh dear
eingelöst,redeemed
kontaminiert,contaminated
freiheitsstatue,Statue of Liberty
rückfahrt,return journey
unheilbar,incurable
untersteht,is subject to
geladene,loaded
bergsteiger,climber
terroristische,terrorist
crunch,crunch
lampenfieber,stage fright
mädchenname,girl's name
inventar,inventory
mattias,Matthias
stapeln,stack
umtauschen,exchange 
ekstase,ecstasy
apostel,apostle
soetwas,something like that
zuende,over
sub,sub
ladenbesitzer,shop owner
legalen,legal
schmiergeld,bribe
weather,weather
vorschnell,premature
apache,Apache
motten,moths
eingeäschert,cremated
hierbehalten,Keep here
kiffer,stoners
horatio,horatio
verwundert,surprised
kenner,connoisseur
londons,London's
gekniffen,pinched
sos,SOS
abstieg,descent
bombay,Bombay
blasmusik,brass band
sundance,Sundance
zathras,zathras
zweikampf,duel
vorstadt,suburb
reiseführer,travel guide
zeichnete,drew
brrr,brrr
tien,tien
leave,leave
celie,celie
berühmtes,famous
unterbreiten,submit
stinkender,stinking
münztelefon,payphone
quartal,quarter
intime,intimate
staatsgefängnis,state prison
schöpft,draws
freinehmen,take time off
mithelfen,help
tesla,Tesla
veteran,veteran
leader,leader
anlügst,lie
entgegennehmen,receive
burrito,burrito
bauchnabel,navel
quacksalber,quack
margaux,margaux
einbringt,brings
peaches,peaches
barmherzig,merciful
whitaker,Whitaker
gordo,gordo
vorgeschmack,preview
bandagen,bandages
glotz,stare
waffenruhe,ceasefire
betreibe,operate
vasek,vasek
unvermeidbar,unavoidable
vermißt,missing
durchgesetzt,enforced
medizinmann,medicine man
watt,watt
bono,bono
coast,coast
id,id
haferflocken,oatmeal
hervorgerufen,caused
meng,meng
uhrwerk,clockwork
bagwell,bagwell
sehnte,longed
verdammen,condemn
vergrößerung,enlargement
lebensmittelladen,grocery store
magnetische,magnetic
zugetan,devoted
morgendämmerung,dawn
meryl,meryl
snyder,Snyder
nachwelt,posterity
wettstreit,competition
scorpius,scorpius
hinfliegen,fly there
rettungsteam,rescue team
einfiel,I thought
zaubertrick,magic trick
eingabe,input
vorankommen,progress
wildschweine,wild boars
radioaktiv,radioactive
intensive,intensive
trüffel,truffle
vorzuwerfen,to accuse
farid,Farid
siegreich,victorious
fälscher,counterfeiter
melodien,melodies
entferntesten,most remote
ankomme,arrive
ungerade,odd
verbrauchen,consume
wahllos,randomly
kauderwelsch,gibberish
schmecke,taste
erna,Erna
stephens,Stephens
patrice,patrice
ausgerufen,proclaimed
petrelli,petrelli
großmama,grandma
andeutungen,hints
kämmen,comb
bildeten,formed
beschämen,shame
jägern,hunters
soren,soren
ankommst,you arrive
mängel,defects
shea,shea
verlorener,lost
kuß,kiss
dekorieren,decorate
zerfressen,corroded
jansen,Jansen
bärchen,bear
steele,steele
löhne,wages
benutzung,use
häuten,skinning
shi,shi
wohlfahrt,welfare
chloroform,chloroform
glenda,Glenda
laszlo,laszlo
baumhaus,treehouse
cale,cale
vermasselst,you messed up
schiene,rail
vulkanischen,volcanic
strong,strong
stiere,bulls
derartiges,such
kongressabgeordneter,congressman
sicherheitsstufe,security level
pflaumen,plums
erdöl,oil
hinken,limp
germanen,Germans
willa,willa
unverwundbar,invulnerable
praktischen,practical
einzuschalten,to turn on
belgrad,Belgrade
hinterhältige,treacherous
fulcrum,fulcrum
tanker,tanker
labert,babbles
körpertemperatur,body temperature
tollpatsch,clumsy
abweichung,deviation
rückwärtsgang,reverse gear
aka,aka
gabriela,Gabriela
befehlsgewalt,command authority
santana,Santana
plunder,plunder
brustwarzen,nipples
japanisches,Japanese
herzversagen,heart failure
deunan,deunan
israelische,Israeli
string,string
gendarm,gendarme
zahnseide,dental floss
optische,optical
adelaide,Adelaide
bekenne,confess
elvira,Elvira
vollzeit,full-time
spaßvogel,joker
brautkleid,wedding dress
besichtigung,sightseeing
halbschwester,half-sister
sync,sync
blubbern,bubble
train,train
saki,saki
schumann,Schumann
while,while
aufzuhängen,to hang
betrugs,fraud
herzattacke,heart attack
lösch,delete
dannys,Danny's
aufmachst,open
perücken,wigs
analytiker,analyst
defensive,defensive
schauer,shower
ausspionieren,spying
drängte,urged
kruger,Kruger
institutionen,institutions
rechtliche,legal
margaritas,margaritas
rayburn,rayburn
bettina,Bettina
grässlichen,gruesome
zivilisierten,civilized
maßen,measures
runkle,runkle
wi,wi
verstaut,stowed away
typhus,typhus
schulbus,School bus
aufstände,uprisings
pflegefamilie,foster family
weckruf,wake-up call
lynne,Lynne
flotten,fleets
emir,emir
amos,amos
nagellack,nail polish
eigensinnig,stubborn
demenz,dementia
altmodischen,old-fashioned
dam,dam
brustkrebs,breast cancer
meeresgrund,seabed
austeilen,distribute
raleigh,Raleigh
entschädigen,compensate
erhabener,sublime
auflöst,dissolves
tampons,tampons
leidtut,Sorry
vorgegeben,given
jeanine,Jeanine
leistete,provided
kubrick,Kubrick
speise,food
galileo,galileo
ahnungslos,unsuspecting
fiedler,fiddler
marsha,marsha
tagung,meeting
urkomisch,hilarious
abzusagen,to cancel
geschändet,desecrated
unschädlich,harmless
stöcke,sticks
prophezeit,prophesied
asphalt,asphalt
lehnst,lean
emilia,Emilia
bemerkst,notice
rauszubringen,to release
bellick,bellick
erging,he went
luftröhre,windpipe
schubert,Schubert
komfortabel,comfortable
löffelchen,spoonful
verleitet,tempted
notiere,note
dre,three
unerbittlich,relentless
versicherte,insured
sozialer,social
dwayne,Dwayne
labern,chatter
fake,fake
schmerzes,pain
türmen,pile up
kali,Kali
strebt,strives
faß,barrel
larson,Larson
kaji,kaji
weißbrot,white bread
gerichtsverhandlung,court hearing
opern,operas
spann,tension
städtchen,small town
debs,debs
zertrümmern,smash
darnell,darnell
verscheucht,scared away
schlitzauge,slant eye
manson,manson
relax,relax
swann,Swann
hawthorne,Hawthorne
stevenson,Stevenson
erweise,prove
jetzige,current
spuk,haunting
dialoge,dialogues
gesehnt,longed for
schließung,closure
heule,howl
fokussiert,focused
motorengeräusch,engine noise
horton,Horton
anschrift,address
freedom,freedom
léa,Léa
sokrates,Socrates
blühende,blooming
tory,Tory
olivenöl,olive oil
optimal,optimal
durchlebt,experienced
round,round
mordanklage,murder charge
tagt,meets
gabby,gabby
anwaltskanzlei,law firm
guillotine,guillotine
droiden,droids
valentina,valentina
ungarisch,Hungarian
vermehrt,more
versagst,fail
zahm,tame
heibt,heibt
notre,notre
lupin,lupin
upon,upon
berüchtigten,infamous
werken,works
leidenschaftliche,passionate
anordnen,order
preiset,praises
paarmal,a few times
karawane,caravan
lothbrok,Lothbrok
edelmann,nobleman
büschen,bushes
schmerzvoll,painful
zuwider,contrary
darlene,Darlene
arrestzelle,Detention cell
klarinette,clarinet
schlaff,limp
arkansas,Arkansas
windsor,Windsor
getaucht,submerged
allgemeines,general
tata,tata
aufzuführen,to list
liegend,lying down
tiefstem,deepest
lai,lai
anstoß,kick-off
bekanntes,well-known
fünfhundert,five hundred
sorgfalt,care
krimi,crime
augenbinde,blindfold
senators,senators
protestiert,protests
leyla,Leyla
campingplatz,campsite
polier,polisher
sphärische,spherical
interferenzen,interferences
bäder,bathrooms
pronto,pronto
vermählung,marriage
laderaum,cargo space
unterschätze,underestimate
molesley,molesley
reizvoll,attractive
buckley,buckley
ausziehst,move out
entbehrlich,dispensable
komplizierten,complicated
widmung,dedication
wachdienst,security service
anjali,Anjali
abgelegenen,remote
lumen,lumen
digger,digger
verhaltet,behaves
vordermann,frontman
wäret,would be
moreno,moreno
tully,Tully
regele,rule
josey,josey
guantanamo,Guantanamo
geistlicher,clergyman
bartholomew,Bartholomew
faschismus,fascism
dürfe,may
gaumen,palate
gebügelt,ironed
beherbergen,accommodate
aleikum,Aleikum
beale,beale
studentinnen,female students
crewmitglieder,crew members
scheußliche,hideous
ruprecht,Ruprecht
heranzukommen,to approach
singles,singles
bewohnern,residents
raue,rough
straight,straight
barbar,barbar
johlen,cheers
ausm,from
heuschrecken,locusts
telegramme,telegrams
rächer,avenger
tret,step
pavel,Pavel
verschwörer,conspirators
far,far
gräbern,graves
duldet,tolerates
duett,duet
parties,parties
schwierigsten,most difficult
gemordet,murdered
zusammenstoß,collision
fleckchen,little spot
everyone,everyone
skateboard,skateboard
einschläfern,euthanize
glasgow,Glasgow
göttlicher,divine
lächelnd,smiling
abendmahl,communion
erklimmen,climb
treffens,meeting
leichtigkeit,ease
herumfahren,drive around
ausgehandelt,negotiated
fragezeichen,question mark
